id,supplier,item,description,cost,status,date,product_key_manual,supplier_norm,text_norm,text_norm_compact,matched_key,product_id,product_name,vendor_name,confidence,method
REQ87397,CrowdStrike Inc,Tanium + Microsft 365 E5 + Zscaler Internet Access,"As part of our cloud security strategy, the acquisition of Tanium is being processed via CrowdStrike Inc. This initiative includes additional modules for Zscaler Internet Access, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",255150.87,DRAFT,12/02/2024,,crowdstrike inc,"crowdstrike inc tanium + microsft 365 e5 + zscaler internet access as part of our cloud security strategy, the acquisition of tanium is being processed via crowdstrike inc. this initiative includes additional modules for zscaler internet access, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","crowdstrikeinctanium+microsft365e5+zscalerinternetaccessaspartofourcloudsecuritystrategy,theacquisitionoftaniumisbeingprocessedviacrowdstrikeinc.thisinitiativeincludesadditionalmodulesforzscalerinternetaccess,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",zscaler internet access,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ54118,CC,Tanium Endpoint + Microsoft E5,"Procurement of Tanium is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through CC, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in APAC.",182694.79,CANCELLED,25/06/2024,,cc,"cc tanium endpoint + microsoft e5 procurement of tanium is being prioritised under the fy23 budget allocation for security enhancements. the acquisition, handled through cc, addresses critical gaps identified in the last compliance audit. the package will also integrate with firepower 2k series to improve overall coverage in apac.","cctaniumendpoint+microsofte5procurementoftaniumisbeingprioritisedunderthefy23budgetallocationforsecurityenhancements.theacquisition,handledthroughcc,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithfirepower2kseriestoimproveoverallcoverageinapac.",,,,,low,fallback
REQ35203,Microsoft Corp,Z$caler IA + Microsft 365 E5,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Z$caler IA. This purchase, processed via Microsoft Corp, will complement our existing deployment of TaniumMgmt and ensure coverage for 3813 users in Americas. Budget reallocation approved by the CISO on 2024-08-23.",387668.83,DRAFT,21/04/2024,,microsoft corp,"microsoft corp z$caler ia + microsft 365 e5 in response to recent threat intelligence reports, it security has recommended immediate onboarding of z$caler ia. this purchase, processed via microsoft corp, will complement our existing deployment of taniummgmt and ensure coverage for 3813 users in americas. budget reallocation approved by the ciso on 2024-08-23.","microsoftcorpz$caleria+microsft365e5inresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingofz$caleria.thispurchase,processedviamicrosoftcorp,willcomplementourexistingdeploymentoftaniummgmtandensurecoveragefor3813usersinamericas.budgetreallocationapprovedbythecisoon20240823.",,,,,low,fallback
REQ44993,CrowdStrike Inc,Z$caler IA + Wiz Defend,"Procurement of Z$caler IA is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CrowdStrike Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in APAC.",269399.24,PENDING,01/12/2023,,crowdstrike inc,"crowdstrike inc z$caler ia + wiz defend procurement of z$caler ia is being prioritised under the fy25 budget allocation for security enhancements. the acquisition, handled through crowdstrike inc, addresses critical gaps identified in the last compliance audit. the package will also integrate with firepower 2k series to improve overall coverage in apac.","crowdstrikeincz$caleria+wizdefendprocurementofz$caleriaisbeingprioritisedunderthefy25budgetallocationforsecurityenhancements.theacquisition,handledthroughcrowdstrikeinc,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithfirepower2kseriestoimproveoverallcoverageinapac.",wiz defend,PROD005,Wiz Defend,Wiz,medium,keyword
REQ45093,CC,Wiz Cl0ud + CS Falcon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of WizCld. This purchase, processed via CC, will complement our existing deployment of CrowdStrike Falcon and ensure coverage for 2261 users in Americas. Budget reallocation approved by the CISO on 2023-04-25.",110250.14,ORDERED,21/03/2025,,cc,"cc wiz cl0ud + cs falcon in response to recent threat intelligence reports, it security has recommended immediate onboarding of wizcld. this purchase, processed via cc, will complement our existing deployment of crowdstrike falcon and ensure coverage for 2261 users in americas. budget reallocation approved by the ciso on 2023-04-25.","ccwizcl0ud+csfalconinresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingofwizcld.thispurchase,processedviacc,willcomplementourexistingdeploymentofcrowdstrikefalconandensurecoveragefor2261usersinamericas.budgetreallocationapprovedbythecisoon20230425.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ28131,WWT,Tanium + Microsft 365 E5 + Z$caler IA,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via WWT, will complement our existing deployment of WizDefnd and ensure coverage for 1220 users in APAC. Budget reallocation approved by the CISO on 2025-05-27.",84191.09,ORDERED,11/05/2023,,wwt,"wwt tanium + microsft 365 e5 + z$caler ia in response to recent threat intelligence reports, it security has recommended immediate onboarding of tanium. this purchase, processed via wwt, will complement our existing deployment of wizdefnd and ensure coverage for 1220 users in apac. budget reallocation approved by the ciso on 2025-05-27.","wwttanium+microsft365e5+z$caleriainresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingoftanium.thispurchase,processedviawwt,willcomplementourexistingdeploymentofwizdefndandensurecoveragefor1220usersinapac.budgetreallocationapprovedbythecisoon20250527.",,,,,low,fallback
REQ54587,CC,WizCld + Cisco FP-2100,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Wiz Cl0ud. This purchase, processed via CC, will complement our existing deployment of Z$caler IA and ensure coverage for 4931 users in APAC. Budget reallocation approved by the CISO on 2023-08-23.",229593.23,CANCELLED,22/10/2025,,cc,"cc wizcld + cisco fp-2100 in response to recent threat intelligence reports, it security has recommended immediate onboarding of wiz cl0ud. this purchase, processed via cc, will complement our existing deployment of z$caler ia and ensure coverage for 4931 users in apac. budget reallocation approved by the ciso on 2023-08-23.","ccwizcld+ciscofp2100inresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingofwizcl0ud.thispurchase,processedviacc,willcomplementourexistingdeploymentofz$caleriaandensurecoveragefor4931usersinapac.budgetreallocationapprovedbythecisoon20230823.",,,,,low,fallback
REQ10074,Cisco Systems,Zscaler Internet Access + WizCld + O365 E5,"As part of our cloud security strategy, the acquisition of Z$caler IA is being processed via Cisco Systems. This initiative includes additional modules for Cisco FP-2100, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",123528.89,PENDING,11/06/2023,,cisco systems,"cisco systems zscaler internet access + wizcld + o365 e5 as part of our cloud security strategy, the acquisition of z$caler ia is being processed via cisco systems. this initiative includes additional modules for cisco fp-2100, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","ciscosystemszscalerinternetaccess+wizcld+o365e5aspartofourcloudsecuritystrategy,theacquisitionofz$caleriaisbeingprocessedviaciscosystems.thisinitiativeincludesadditionalmodulesforciscofp2100,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",zscaler internet access,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ37760,WWT,O365 E5 + Zscaler IA,"As part of our cloud security strategy, the acquisition of MS 365 E5 is being processed via WWT. This initiative includes additional modules for Wiz Cl0ud, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",497598.93,CANCELLED,16/06/2025,,wwt,"wwt o365 e5 + zscaler ia as part of our cloud security strategy, the acquisition of ms 365 e5 is being processed via wwt. this initiative includes additional modules for wiz cl0ud, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","wwto365e5+zscaleriaaspartofourcloudsecuritystrategy,theacquisitionofms365e5isbeingprocessedviawwt.thisinitiativeincludesadditionalmodulesforwizcl0ud,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ38864,WWT,Wiz Defnd + Microsoft E5,"Procurement of Wiz Defnd is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with TaniumMgmt to improve overall coverage in EMEA.",118326.18,DRAFT,07/11/2024,,wwt,"wwt wiz defnd + microsoft e5 procurement of wiz defnd is being prioritised under the fy23 budget allocation for security enhancements. the acquisition, handled through wwt, addresses critical gaps identified in the last compliance audit. the package will also integrate with taniummgmt to improve overall coverage in emea.","wwtwizdefnd+microsofte5procurementofwizdefndisbeingprioritisedunderthefy23budgetallocationforsecurityenhancements.theacquisition,handledthroughwwt,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithtaniummgmttoimproveoverallcoverageinemea.",,,,,low,fallback
